cluster,n,mean_psnr,mean_ssim,mean_lpips
0,75,22.896198216992317,0.5207612096413634,0.20326230386892954
1,55,24.097906466711425,0.6557258119365966,0.16250673762776635
2,32,23.014286164531605,0.5618148032758358,0.19409152783919126
3,20,25.668585201022957,0.6605215840983873,0.1564967878162861
4,15,24.589394254342153,0.552563964689563,0.22161102096239726
5,55,26.269901007898508,0.667144143056114,0.16035085022449494
6,78,22.615767440323395,0.4656977245464155,0.2184143415055214
7,37,22.41922460903535,0.4854419138663662,0.22098102964259483
8,68,26.038838711709637,0.7490792107850052,0.13700629672145143
9,2,13.113404730291629,0.3378193946515441,0.1883094310760498
10,48,22.01205505524983,0.447636392454329,0.24236403328056136
11,41,19.63399712926456,0.6079190589592414,0.20283963004263436
12,27,25.295012860675325,0.5889339145004693,0.15795644179538446
13,46,22.54656187267142,0.6636160497973614,0.15305539204374605
14,46,19.16512706953837,0.651383683884685,0.16839684497403062
15,19,28.274847323841552,0.7344480118755728,0.13347155934101657
16,3,25.464426336866662,0.6112484804623128,0.21826187521219254
17,16,28.069649906775513,0.689346176765862,0.1535563045181334
18,14,21.46357395794683,0.5792209300120451,0.19739681695188796
19,15,26.12493075961625,0.70113159688808,0.1501134013136228
