cluster,n,a,c,e,L_gain,K_poisson,sigma_A,skipped_too_small
0,502,0.02863525773118918,0.008843950200419459,8.487832702236767e-07,34.92198356960524,113.07164528725762,0.0009212943450513938,
1,366,0.025703931007769062,0.0076195972009193685,3.1652790490187225e-07,38.90455509306137,131.24053327639703,0.0005626081272980974,
2,213,0.024756672859708465,0.009399212388846242,1.0213062035025383e-06,40.39314998694764,106.39189313209577,0.001010596954033871,
3,134,0.033686454275265725,0.003317398819929348,5.686565344221123e-07,29.68552260883835,301.4409946710289,0.0007540931868291295,
4,102,0.019591258265490463,0.015172554456206338,8.854247386075485e-07,51.0431737690619,65.90847987307436,0.0009409701050551758,
5,369,0.028492932986434863,0.0076364336138861075,2.5718806603137635e-06,35.09642199615209,130.9511809520085,0.0016037084087557076,
6,526,0.028275348339812427,0.008080875520787937,0.00022922698651734288,35.36649621366376,123.74896722855269,0.015140243938501878,
7,244,0.018988607540974877,0.015070257442851039,1.0371828768880278e-05,52.6631559392722,66.35586709730534,0.003220532373518434,
8,456,0.03410611865495001,0.0027444618465970747,0.00017921931945582328,29.320252184569952,364.37015921351735,0.013387282004044857,
9,12,,,,,,,True
10,321,0.023163903048397827,0.011615378779285509,0.00022137688589916323,43.17061757298137,86.09275848871737,0.01487873939213814,
11,279,0.01537400390305704,0.020596374662165146,3.3343468648691085e-07,65.04486445467568,48.55223389565575,0.0005774380369242321,
12,189,0.030055663967257142,0.005560240361954148,2.702981751222417e-07,33.271599026706156,179.8483401621418,0.000519902082244572,
13,304,0.02112211083651566,0.013824679724429682,9.929693397646246e-07,47.343753081307185,72.33440628884107,0.0009964784692930524,
14,306,0.012515876981434896,0.021807448287801064,8.869087406530147e-06,79.89851621930484,45.855892298935,0.0029781013089769373,
15,132,0.028147624281509274,0.00788222038879377,1.6279047220694068e-06,35.52697698387709,126.86780509483214,0.0012758936954422994,
16,18,,,,,,,True
17,106,0.030743421635313732,0.003886770902800983,2.6940216053056166e-07,32.52728378325138,257.28297988424134,0.000519039652175594,
18,93,0.004177888995383792,0.03218987035200384,9.723892457715978e-11,239.3553301930506,31.065673426601712,9.860979899440004e-06,
19,103,0.03289576012615447,0.003602451805706613,6.488650961399733e-07,30.39905435123017,277.5887239951159,0.0008055216298399276,
