cluster,n,mean_psnr,mean_ssim,mean_lpips,mean_composite
0,75,22.910363331665902,0.5213030893237085,0.21024840871493022,0.6128040786843906
1,55,24.092589600666727,0.6565005201212131,0.16347934278574858,0.6996106794448111
2,32,23.00125663178772,0.5654054377747352,0.19908432383090258,0.6332460742432268
3,20,25.71016904029785,0.6624452187997505,0.1663363218307495,0.7367067221073968
4,15,24.56365539981815,0.5470289655983406,0.2408157616853714,0.6479300768558375
5,55,26.273993797672375,0.667741986606923,0.1637864650650458,0.7463339856238084
6,78,22.610862001626057,0.46714646031302604,0.21650427255110863,0.5860109959567738
7,37,22.419721333863805,0.4834702467670474,0.2364351278221285,0.5805610692897242
8,68,26.042537988601257,0.7496212272874891,0.13430854891810348,0.7799767328557605
9,2,13.278103519607669,0.3261888621435964,0.2103447988629341,0.37194802109355407
10,48,22.014956778579048,0.4499046113135483,0.24144037145500383,0.5587093416990493
11,41,19.668976518196605,0.6075353785706421,0.19766672900537166,0.5737112502594591
12,27,25.263092427965837,0.5894444571083057,0.1621484218372239,0.7027956617337908
13,46,22.541366830692013,0.6610159386111583,0.1588656520066054,0.6683026917724512
14,46,19.202963804803918,0.6491798705529735,0.16945824189030606,0.5872782169213026
15,19,28.423918636257955,0.7386069265217171,0.13932299790413757,0.8159154136059179
16,3,25.17551434562995,0.5735166008551119,0.2586161096890767,0.6644227047360105
17,16,28.03815799068913,0.6897711871783483,0.16030956851318479,0.7894729409856248
18,14,21.483561142704183,0.5765594429359728,0.19009160569735936,0.6062350822507419
19,15,26.118329575030923,0.699605194750937,0.16204379573464395,0.7536770570855543
