epoch,phase,psnr,ssim,epoch_time_sec,lr
0,mild_only,23.70058423345909,0.6149792038418598,16.50639295578003,5e-05
1,mild_only,23.702000798731046,0.6132437274748149,16.042164087295532,5e-05
2,mild_only,23.677702282257016,0.6126326694246036,16.177547454833984,5e-05
3,mild_only,23.666251115393575,0.6109265871633821,15.85051941871643,5e-05
4,mild_only,23.641784973091095,0.6097246266432472,15.960361242294312,5e-05
5,mild_only,23.593267129284225,0.6088525732424236,15.93324089050293,5e-05
6,mild_only,23.566576466611366,0.6075712048989917,16.212181091308594,5e-05
7,mild_only,23.542486395400232,0.605533531230467,15.925206661224365,2.5e-05
8,mild_only,23.51899841156552,0.6049046357905705,15.864820957183838,2.5e-05
9,mild_only,23.496276165905492,0.6040630662422009,15.88302755355835,2.5e-05
10,mild_only,23.46995466076437,0.6032627060689717,15.791030168533325,2.5e-05
11,mild_only,23.44610661555278,0.6022606177061287,15.722844362258911,2.5e-05
12,uniform,23.633961196277983,0.6118048647221156,16.147571086883545,2.5e-05
13,uniform,23.631652621217878,0.6122012600201241,15.936935663223267,2.5e-05
14,uniform,23.63277749258004,0.6114634627393399,15.820444107055664,1.25e-05
15,uniform,23.63111980262521,0.6118805953441538,15.610005855560303,1.25e-05
16,uniform,23.633929859221507,0.6119179730864801,15.594980716705322,1.25e-05
