file,spearman_r,spearman_p
000015.npy,0.12185663405021535,3.2597202537905256e-215
000030.npy,0.12654082282562776,4.7811089643399086e-232
000088.npy,0.2125331688151793,0.0
000093.npy,0.2756845733482901,0.0
000167.npy,0.11568607041147613,4.932626522040266e-194
000194.npy,0.09615877364873499,2.066250822170731e-134
000215.npy,0.1178038565272754,3.55829374629736e-201
000295.npy,0.19460636277182838,0.0
000318.npy,0.12389739862755059,1.8179471620510495e-222
000319.npy,0.14093159167345792,7.196166849909975e-288
000347.npy,0.134804968929774,2.4128220818661075e-263
000366.npy,0.07567518527528856,7.672301028846913e-84
000371.npy,0.1282401524493887,2.5757372093646027e-238
000388.npy,0.2143177231851381,0.0
000424.npy,0.11549347445843547,2.167623808733505e-193
000432.npy,0.11253228801423372,1.2096030209484377e-183
000439.npy,0.1953606573669247,0.0
000520.npy,0.12667483637233176,1.5427643756523286e-232
000562.npy,0.1237164196430354,8.08822278268971e-222
000596.npy,0.14364618196962395,4.249933491737027e-299
000630.npy,0.08955199900357651,9.081784989909694e-117
000653.npy,0.10097558465057581,4.452927600490461e-148
000743.npy,0.11363970210898837,2.937399859098396e-187
000813.npy,0.10966271447155447,1.9085207656467093e-174
000819.npy,0.05402747823352518,1.444285372877132e-43
000889.npy,0.12051514451982351,1.6362362712746827e-210
001014.npy,0.12112405320084578,1.2212896663002003e-212
001100.npy,0.1368772083940097,1.6354339286663066e-271
001119.npy,0.17436509913627207,0.0
001122.npy,0.09156703718739147,5.152215849069318e-122
001132.npy,0.05768881004281902,1.9610665721661538e-49
001199.npy,0.1357936554653779,3.1707834092869267e-267
001221.npy,0.1096873854639358,1.5946014030321056e-174
001272.npy,0.15911912577900075,0.0
001316.npy,0.10629371016244989,5.887329410818065e-164
001342.npy,0.1579880093443709,0.0
001361.npy,0.10438162102961736,3.7548338028510644e-158
001409.npy,0.14944747382982468,0.0
001415.npy,0.16565779720378682,0.0
001436.npy,0.035578382099020735,8.179456566320467e-20
001590.npy,0.1299943302676579,7.07036680169182e-245
001592.npy,0.13101682267386647,9.602158235086868e-249
001664.npy,0.09251792621174532,1.56770980823515e-124
001666.npy,0.1971349815877973,0.0
001672.npy,0.10163810566407312,5.197071693457462e-150
001727.npy,0.07476102452403344,7.216633544661954e-82
001733.npy,0.09836488287904195,1.3808260629528253e-140
001747.npy,0.12815763147979348,5.2155962729196795e-238
001754.npy,0.08970943260167269,3.569012131691242e-117
001793.npy,0.13487878076149978,1.2409986115527288e-263
001825.npy,0.13485922745166654,1.4800634669132722e-263
001835.npy,0.1177763102593172,4.4155963805583654e-201
001891.npy,0.32387441775767106,0.0
001992.npy,0.2618606625866788,0.0
002203.npy,0.3001440492951176,0.0
002230.npy,0.10013390501039665,1.2180725254813295e-145
002241.npy,0.30498537588823277,0.0
002243.npy,0.29842523592096876,0.0
002253.npy,0.31377692715494476,0.0
002284.npy,0.16302232552108806,0.0
002308.npy,0.21706324434606,0.0
002419.npy,0.3595458909250254,0.0
002435.npy,0.11274129653753744,2.5304478441700776e-184
002478.npy,0.3095445292361204,0.0
002575.npy,0.07221902035556468,1.655843791073504e-76
002603.npy,0.18096219324552548,0.0
002673.npy,0.09664434007475155,9.29526586614987e-136
003220.npy,0.19763624273097374,0.0
003528.npy,0.21929660843442378,0.0
003597.npy,0.2503154540764015,0.0
003739.npy,0.2723582153264782,0.0
003879.npy,0.161768558180036,0.0
004020.npy,0.2481389257285701,0.0
004413.npy,0.23338019457775017,0.0
004684.npy,0.2895629162643659,0.0
000156.npy,0.15476616637284768,0.0
000198.npy,0.23969449129280934,0.0
000508.npy,0.22719130086809883,0.0
000670.npy,0.15000462886029411,0.0
000711.npy,0.20323209388302063,0.0
000803.npy,0.17597830023659064,0.0
000920.npy,0.2347018063934919,0.0
000991.npy,0.13283461751085404,1.07185865528804e-255
001035.npy,0.203702534576504,0.0
001054.npy,0.27093414966385826,0.0
001239.npy,0.0764866418500647,1.2971964980938682e-85
001356.npy,0.109957990405115,2.2153230989750195e-175
001447.npy,0.07054089437308216,4.527163993765425e-73
001461.npy,0.09879009348227537,8.581946838716232e-142
001959.npy,0.3022356489722948,0.0
002040.npy,0.16328561209631137,0.0
002282.npy,0.07575373781007559,5.178780789272949e-84
002434.npy,0.14194279980390456,5.015779630518157e-292
002621.npy,0.10317250067068066,1.5480373766130808e-154
002745.npy,0.3417969175547116,0.0
002769.npy,0.36534088684596716,0.0
002771.npy,0.3263742390264299,0.0
002778.npy,0.29578643149783346,0.0
002800.npy,0.43474688183660937,0.0
002855.npy,0.24522396690344375,0.0
002858.npy,0.01858739334931609,1.94850526861033e-06
003031.npy,0.29763418964012195,0.0
003092.npy,0.3014752629772827,0.0
003226.npy,0.22679660406969127,0.0
003426.npy,0.16530674776330434,0.0
003459.npy,0.245167868068351,0.0
003517.npy,0.2765932842536282,0.0
003558.npy,0.16941747665753373,0.0
003568.npy,0.2810090201509269,0.0
003711.npy,0.3009385017538972,0.0
003712.npy,0.29420327009030334,0.0
003780.npy,0.10833520664237282,2.8426221744686798e-170
003820.npy,0.33985000133584187,0.0
003830.npy,0.08720007560691972,8.550577449694105e-111
003926.npy,0.14942522724691204,0.0
003987.npy,0.2016598573175028,0.0
003989.npy,0.2337459304166457,0.0
004018.npy,0.19499929319659906,0.0
004024.npy,0.28734698615039184,0.0
004143.npy,0.24710920815069407,0.0
004152.npy,0.17706085554689532,0.0
004158.npy,0.2182492897063527,0.0
004213.npy,0.1318405185833963,6.988410252107543e-252
004319.npy,0.3308969203821609,0.0
004408.npy,0.28360349455857,0.0
004440.npy,0.17324487211877088,0.0
004468.npy,0.24826536814136288,0.0
004505.npy,0.29933148203063464,0.0
