file,cluster,split
000000.npy,14,train
000001.npy,6,val
000002.npy,11,train
000003.npy,6,val
000004.npy,0,train
000005.npy,0,train
000006.npy,6,val
000007.npy,7,train
000008.npy,2,train
000009.npy,10,train
000010.npy,10,train
000011.npy,10,train
000012.npy,2,train
000013.npy,6,val
000014.npy,6,val
000015.npy,0,train
000016.npy,0,train
000017.npy,0,train
000018.npy,14,train
000019.npy,6,val
000020.npy,8,train
000021.npy,2,train
000022.npy,2,train
000023.npy,6,val
000024.npy,13,train
000025.npy,13,train
000026.npy,1,train
000027.npy,10,train
000028.npy,10,train
000029.npy,6,val
000030.npy,0,train
000031.npy,0,train
000032.npy,0,train
000033.npy,5,train
000034.npy,0,train
000035.npy,0,train
000036.npy,6,val
000037.npy,6,val
000038.npy,6,val
000039.npy,6,val
000040.npy,10,train
000041.npy,6,val
000042.npy,8,train
000043.npy,11,train
000044.npy,14,train
000045.npy,6,val
000046.npy,8,train
000047.npy,6,val
000048.npy,6,val
000049.npy,2,train
000050.npy,0,train
000051.npy,17,train
000052.npy,8,train
000053.npy,8,train
000054.npy,7,train
000055.npy,7,train
000056.npy,7,train
000057.npy,11,train
000058.npy,6,val
000059.npy,11,train
000060.npy,0,train
000061.npy,0,train
000062.npy,0,train
000063.npy,7,train
000064.npy,13,train
000065.npy,7,train
000066.npy,11,train
000067.npy,5,train
000068.npy,11,train
000069.npy,10,train
000070.npy,10,train
000071.npy,10,train
000072.npy,10,train
000073.npy,10,train
000074.npy,10,train
000075.npy,10,train
000076.npy,10,train
000077.npy,10,train
000078.npy,14,train
000079.npy,14,train
000080.npy,14,train
000081.npy,0,train
000082.npy,5,train
000083.npy,8,train
000084.npy,14,train
000085.npy,10,train
000086.npy,13,train
000087.npy,11,train
000088.npy,0,train
000089.npy,11,train
000090.npy,0,train
000091.npy,0,train
000092.npy,2,train
000093.npy,0,train
000094.npy,10,train
000095.npy,6,val
000096.npy,8,train
000097.npy,8,train
000098.npy,8,train
000099.npy,6,val
000100.npy,6,val
000101.npy,6,val
000102.npy,2,train
000103.npy,5,train
000104.npy,0,train
000105.npy,11,train
000106.npy,2,train
000107.npy,2,train
000108.npy,6,val
000109.npy,2,train
000110.npy,0,train
000111.npy,0,train
000112.npy,6,val
000113.npy,6,val
000114.npy,7,train
000115.npy,7,train
000116.npy,7,train
