file,bar_rows_frac,bar_resid_var,specimen_resid_var,bar_gt_mean,specimen_gt_mean,var_ratio_specimen_over_bar
000007.npy,0.2109375,0.04782410580795427,0.014621561993346927,0.9468939403853001,0.5928166221040957,0.30573623377428666
000934.npy,0.2265625,0.04377614517551505,0.01364146864017995,0.9625037321650107,0.5888698290628189,0.311618772861022
001106.npy,0.1796875,0.03857132379245687,0.009925392082088426,0.9097089757932006,0.6003866210932477,0.2573256789291081
003240.npy,0.109375,0.029396596575394843,0.01291694043889656,0.9162656593884144,0.5946048306433888,0.4394025820563231
003717.npy,0.5625,0.044260441904276276,0.015237925772110047,0.9628446166607318,0.5133344635444059,0.3442786632150145
003910.npy,0.6796875,0.03173489743819785,0.017852249919324083,0.9350911067347408,0.571536679810669,0.5625431736179536
003915.npy,0.796875,0.030603107040603622,0.01654938915598062,0.8772201949027236,0.48918221319576805,0.5407748021801578
003923.npy,0.6796875,0.02830586438504,0.012912717119706771,0.9113078180348607,0.5496590649799108,0.4561852252260243
004287.npy,0.03125,0.023602344259297744,0.007699917614915973,0.7497431597320603,0.46885940574231577,0.32623528961038356
004326.npy,0.859375,0.040145535052963796,0.021872184804584124,0.8453118605918741,0.5435360896860241,0.5448223513705388
