flagged,separator_row,side,bar_height_frac,region_mean,region_bright_frac,excluded_as_known_false_positive,file
False,,,0.0,,,False,000000.npy
False,,,0.0,,,False,000001.npy
False,,,0.0,,,False,000002.npy
False,,,0.0,,,False,000003.npy
False,,,0.0,,,False,000004.npy
False,,,0.0,,,False,000005.npy
False,,,0.0,,,False,000006.npy
True,201.0,below,0.2109375,0.9468939304351807,0.9385127314814815,False,000007.npy
False,,,0.0,,,False,000008.npy
False,,,0.0,,,False,000009.npy
False,,,0.0,,,False,000010.npy
False,,,0.0,,,False,000011.npy
False,,,0.0,,,False,000012.npy
False,,,0.0,,,False,000013.npy
False,,,0.0,,,False,000014.npy
False,,,0.0,,,False,000015.npy
False,,,0.0,,,False,000016.npy
False,,,0.0,,,False,000017.npy
False,,,0.0,,,False,000018.npy
False,,,0.0,,,False,000019.npy
False,,,0.0,,,False,000020.npy
False,,,0.0,,,False,000021.npy
False,,,0.0,,,False,000022.npy
False,,,0.0,,,False,000023.npy
False,,,0.0,,,False,000024.npy
False,,,0.0,,,False,000025.npy
False,,,0.0,,,False,000026.npy
False,,,0.0,,,False,000027.npy
False,,,0.0,,,False,000028.npy
False,,,0.0,,,False,000029.npy
False,,,0.0,,,False,000030.npy
False,,,0.0,,,False,000031.npy
False,,,0.0,,,False,000032.npy
False,,,0.0,,,False,000033.npy
False,,,0.0,,,False,000034.npy
False,,,0.0,,,False,000035.npy
False,,,0.0,,,False,000036.npy
False,,,0.0,,,False,000037.npy
False,,,0.0,,,False,000038.npy
False,,,0.0,,,False,000039.npy
False,,,0.0,,,False,000040.npy
False,,,0.0,,,False,000041.npy
False,,,0.0,,,False,000042.npy
False,,,0.0,,,False,000043.npy
False,,,0.0,,,False,000044.npy
False,,,0.0,,,False,000045.npy
False,,,0.0,,,False,000046.npy
False,,,0.0,,,False,000047.npy
False,,,0.0,,,False,000048.npy
False,,,0.0,,,False,000049.npy
False,,,0.0,,,False,000050.npy
False,,,0.0,,,False,000051.npy
False,,,0.0,,,False,000052.npy
False,,,0.0,,,False,000053.npy
False,,,0.0,,,False,000054.npy
False,,,0.0,,,False,000055.npy
False,,,0.0,,,False,000056.npy
False,,,0.0,,,False,000057.npy
False,,,0.0,,,False,000058.npy
False,,,0.0,,,False,000059.npy
False,,,0.0,,,False,000060.npy
False,,,0.0,,,False,000061.npy
False,,,0.0,,,False,000062.npy
False,,,0.0,,,False,000063.npy
False,,,0.0,,,False,000064.npy
False,,,0.0,,,False,000065.npy
False,,,0.0,,,False,000066.npy
False,,,0.0,,,False,000067.npy
False,,,0.0,,,False,000068.npy
False,,,0.0,,,False,000069.npy
False,,,0.0,,,False,000070.npy
False,,,0.0,,,False,000071.npy
False,,,0.0,,,False,000072.npy
False,,,0.0,,,False,000073.npy
False,,,0.0,,,False,000074.npy
False,,,0.0,,,False,000075.npy
False,,,0.0,,,False,000076.npy
False,,,0.0,,,False,000077.npy
False,,,0.0,,,False,000078.npy
False,,,0.0,,,False,000079.npy
False,,,0.0,,,False,000080.npy
False,,,0.0,,,False,000081.npy
False,,,0.0,,,False,000082.npy
False,,,0.0,,,False,000083.npy
False,,,0.0,,,False,000084.npy
False,,,0.0,,,False,000085.npy
False,,,0.0,,,False,000086.npy
False,,,0.0,,,False,000087.npy
False,,,0.0,,,False,000088.npy
False,,,0.0,,,False,000089.npy
False,,,0.0,,,False,000090.npy
False,,,0.0,,,False,000091.npy
False,,,0.0,,,False,000092.npy
False,,,0.0,,,False,000093.npy
False,,,0.0,,,False,000094.npy
False,,,0.0,,,False,000095.npy
False,,,0.0,,,False,000096.npy
False,,,0.0,,,False,000097.npy
False,,,0.0,,,False,000098.npy
False,,,0.0,,,False,000099.npy
False,,,0.0,,,False,000100.npy
False,,,0.0,,,False,000101.npy
False,,,0.0,,,False,000102.npy
False,,,0.0,,,False,000103.npy
False,,,0.0,,,False,000104.npy
False,,,0.0,,,False,000105.npy
False,,,0.0,,,False,000106.npy
