severity,severity_multiplier,file,L_gain,K_poisson,sigma_A,psnr_model,ssim_model,psnr_classical,ssim_classical,model_output_finite
1.0x (worst seen in training),1.0,002161.npy,29.320252184569952,31.065673426601712,0.0151402439385018,22.181699387608248,0.47703781847568927,18.14109325523156,0.305563722505549,True
1.0x (worst seen in training),1.0,003251.npy,29.320252184569952,31.065673426601712,0.0151402439385018,20.044009405417818,0.5620395176181777,16.74608177473052,0.4267361282193995,True
1.0x (worst seen in training),1.0,003265.npy,29.320252184569952,31.065673426601712,0.0151402439385018,23.22670263403446,0.3312314137690151,18.60357721241233,0.18921585200957536,True
1.0x (worst seen in training),1.0,003222.npy,29.320252184569952,31.065673426601712,0.0151402439385018,24.08044793757437,0.39995123910525326,19.124740414280375,0.21709031764811118,True
1.0x (worst seen in training),1.0,001361.npy,29.320252184569952,31.065673426601712,0.0151402439385018,20.316649132213303,0.29583810609770333,18.245624379967943,0.27234725181855346,True
1.0x (worst seen in training),1.0,003443.npy,29.320252184569952,31.065673426601712,0.0151402439385018,19.480901149811075,0.3816984504874621,17.25636538166453,0.32366459135355585,True
1.0x (worst seen in training),1.0,000927.npy,29.320252184569952,31.065673426601712,0.0151402439385018,17.18508270021398,0.4482447507682118,16.058396368708397,0.4608137372485156,True
1.0x (worst seen in training),1.0,001447.npy,29.320252184569952,31.065673426601712,0.0151402439385018,20.12800164610953,0.22159735272441758,16.95886716076759,0.16315500642974018,True
1.0x (worst seen in training),1.0,003616.npy,29.320252184569952,31.065673426601712,0.0151402439385018,18.796838093028907,0.15479573017917292,15.557882566000956,0.11160657569377165,True
1.0x (worst seen in training),1.0,003787.npy,29.320252184569952,31.065673426601712,0.0151402439385018,20.85854880840496,0.39905868136796135,18.47426794252886,0.33207731400782653,True
1.0x (worst seen in training),1.0,003808.npy,29.320252184569952,31.065673426601712,0.0151402439385018,19.513698035802996,0.5955672525826732,16.527170220973446,0.48411038822887587,True
1.0x (worst seen in training),1.0,001105.npy,29.320252184569952,31.065673426601712,0.0151402439385018,20.01376873045945,0.4202771493381991,17.467000914128434,0.3364893794082727,True
1.0x (worst seen in training),1.0,004675.npy,29.320252184569952,31.065673426601712,0.0151402439385018,18.903380602850763,0.32927639216073173,16.869184845573137,0.2999603712842348,True
1.0x (worst seen in training),1.0,002566.npy,29.320252184569952,31.065673426601712,0.0151402439385018,19.62343661047395,0.239969210718059,17.186955729729338,0.19263914680389652,True
1.0x (worst seen in training),1.0,000889.npy,29.320252184569952,31.065673426601712,0.0151402439385018,20.216776738006427,0.43847286327350793,17.883788439437815,0.37041495157983906,True
1.0x (worst seen in training),1.0,002633.npy,29.320252184569952,31.065673426601712,0.0151402439385018,19.711683717985565,0.3314575563435092,17.100601571526557,0.28026717390978645,True
1.0x (worst seen in training),1.0,003572.npy,29.320252184569952,31.065673426601712,0.0151402439385018,20.930104331580026,0.5107461268893381,19.397691859767995,0.47209183534477744,True
1.0x (worst seen in training),1.0,004531.npy,29.320252184569952,31.065673426601712,0.0151402439385018,20.93326035493115,0.25758762193531515,17.05933473047226,0.19937239953421235,True
1.0x (worst seen in training),1.0,003004.npy,29.320252184569952,31.065673426601712,0.0151402439385018,20.05244161184695,0.4632310826371709,17.83663600240952,0.38675812948463206,True
1.0x (worst seen in training),1.0,003810.npy,29.320252184569952,31.065673426601712,0.0151402439385018,20.30557486565958,0.2502804142735034,17.079952812348825,0.19001409960842233,True
1.0x (worst seen in training),1.0,000711.npy,29.320252184569952,31.065673426601712,0.0151402439385018,18.59484021149831,0.44319858728717726,16.507016483071595,0.3970129677071673,True
1.0x (worst seen in training),1.0,000488.npy,29.320252184569952,31.065673426601712,0.0151402439385018,16.51248934931874,0.357402965897277,15.64057198273202,0.37789949176972865,True
1.0x (worst seen in training),1.0,003062.npy,29.320252184569952,31.065673426601712,0.0151402439385018,15.805583739129776,0.6047584008546174,14.815123851746126,0.5843295569959851,True
1.0x (worst seen in training),1.0,001132.npy,29.320252184569952,31.065673426601712,0.0151402439385018,19.685803451157597,0.18470461925988238,17.601543661803415,0.15504293735195362,True
1.0x (worst seen in training),1.0,004572.npy,29.320252184569952,31.065673426601712,0.0151402439385018,21.36561164856376,0.5983389886538854,18.521008189433584,0.483513406805314,True
1.0x (worst seen in training),1.0,003807.npy,29.320252184569952,31.065673426601712,0.0151402439385018,19.222593993447468,0.5898807481461962,16.31666981019803,0.47693000163199295,True
1.0x (worst seen in training),1.0,000994.npy,29.320252184569952,31.065673426601712,0.0151402439385018,17.819573619721645,0.24678802087310464,15.60148988783025,0.22196912574640273,True
1.0x (worst seen in training),1.0,000093.npy,29.320252184569952,31.065673426601712,0.0151402439385018,19.70337928120115,0.21603429970793583,17.37035816266719,0.1814058004364462,True
1.0x (worst seen in training),1.0,000559.npy,29.320252184569952,31.065673426601712,0.0151402439385018,19.71572727581703,0.31547341947058793,18.695242382946013,0.3182081909512766,True
1.0x (worst seen in training),1.0,003835.npy,29.320252184569952,31.065673426601712,0.0151402439385018,20.252902173884433,0.5829478434490124,18.34296172454167,0.5231616402544814,True
1.0x (worst seen in training),1.0,002647.npy,29.320252184569952,31.065673426601712,0.0151402439385018,18.193698845588713,0.23025378349144407,16.019268125558803,0.1973877613064326,True
1.0x (worst seen in training),1.0,004561.npy,29.320252184569952,31.065673426601712,0.0151402439385018,19.891382584331836,0.6242407760003565,17.799189510709844,0.5542581333473381,True
1.0x (worst seen in training),1.0,001107.npy,29.320252184569952,31.065673426601712,0.0151402439385018,19.28024866088819,0.378106196912687,17.572105913879813,0.3493080452470016,True
1.0x (worst seen in training),1.0,002144.npy,29.320252184569952,31.065673426601712,0.0151402439385018,20.31915221191784,0.6378158142053213,18.656011764058317,0.5860243657906103,True
