cluster,n,mean_psnr,std_psnr,mean_ssim,std_ssim
0,75,22.919193591140097,1.9897320852910432,0.5164540144148045,0.12995177755401588
1,55,24.12059544313756,1.9513912687945951,0.6553374793439696,0.13689419606137684
2,32,23.053767655021623,2.240228130329495,0.5591257833691232,0.13061349700355532
3,20,25.71206507526257,2.507980468126791,0.661508451128411,0.16099403862385403
4,15,24.644162649469557,1.9627727386096232,0.5552434946532241,0.14209843471927489
5,55,26.28709552739907,3.27727527911661,0.6638265637191182,0.14173041185834304
6,78,22.6547341142479,2.5307112663701834,0.46143577080426285,0.13793782800248014
7,37,22.441367702823197,2.411303419003792,0.4824010805768131,0.12987845158868605
8,68,26.020991228697476,2.8767262195878254,0.7475072911371812,0.11252048836097421
9,2,13.055526982672509,0.8719357929103528,0.3357576836391322,0.005196688199107489
10,48,22.02061773487179,2.4715046190994405,0.4454855871934346,0.12263562184719447
11,41,19.665022207114866,1.1576038561488642,0.6046180831639572,0.11534089084858087
12,27,25.29620822407143,2.839175532538869,0.5871411740226676,0.160329726072019
13,46,22.550499709274412,2.501332027532119,0.6623160509843806,0.12236663984642863
14,46,19.194610263807256,1.89749598004565,0.6485898335876508,0.1014281676819939
15,19,28.45032003470494,3.4433066775084176,0.7338268501571159,0.12877167421457977
16,3,25.427924062993664,3.1781655733014063,0.6075019555607509,0.2470437382294501
17,16,28.051941136854392,2.788908172015953,0.6868000439728387,0.1354486786758288
18,14,21.487867732659712,1.700678149901792,0.571911071411188,0.12832852720886004
19,15,26.138377397687258,4.326538972649783,0.6982606161300532,0.13255453492175578
